Timestamp,LaneState,Deviation(px),EMA_Deviation(px),BlinkerLeft,BlinkerRight,Violation
2025-10-27 16:59:00,lane_boundary_missing,0,12.75,0,0,
2025-10-27 16:59:00,centered,-22,4.07,0,0,
2025-10-27 16:59:00,right_drift,72,21.05,0,0,
2025-10-27 16:59:00,right_drift,78,35.29,0,0,
2025-10-27 16:59:01,right_drift,91,49.21,0,0,
2025-10-27 16:59:01,right_drift,84,57.91,0,0,
2025-10-27 16:59:01,right_drift,53,56.68,0,0,
2025-10-27 16:59:01,right_drift,42,53.01,0,0,
2025-10-27 16:59:01,centered,16,43.76,0,0,
2025-10-27 16:59:01,right_drift,68,49.82,0,0,
2025-10-27 16:59:01,right_drift,45,48.61,0,0,
2025-10-27 16:59:02,right_drift,51,49.21,0,0,
2025-10-27 16:59:02,right_drift,42,47.41,0,0,
2025-10-27 16:59:02,right_drift,58,50.06,0,0,
2025-10-27 16:59:02,right_drift,50,50.04,0,0,
2025-10-27 16:59:02,right_drift,51,50.28,0,0,
2025-10-27 16:59:02,right_drift,65,53.96,0,0,
2025-10-27 16:59:02,right_drift,61,55.72,0,0,
2025-10-27 16:59:02,centered,35,50.54,0,0,
2025-10-27 16:59:03,right_drift,52,50.91,0,0,
2025-10-27 16:59:03,right_drift,53,51.43,0,0,
2025-10-27 16:59:03,right_drift,59,53.32,0,0,
2025-10-27 16:59:03,right_drift,52,52.99,0,0,
2025-10-27 16:59:03,centered,28,46.74,0,0,
2025-10-27 16:59:03,right_drift,55,48.81,0,0,
2025-10-27 16:59:03,centered,27,43.36,0,0,
2025-10-27 16:59:04,right_drift,75,51.27,0,0,
2025-10-27 16:59:04,right_drift,72,56.45,0,0,
2025-10-27 16:59:04,right_drift,51,55.09,0,0,
2025-10-27 16:59:04,centered,28,48.32,0,0,
2025-10-27 16:59:04,centered,37,45.49,0,0,
2025-10-27 16:59:04,centered,7,35.87,0,0,
2025-10-27 16:59:04,centered,35,35.65,0,0,
2025-10-27 16:59:04,centered,21,31.99,0,0,
2025-10-27 16:59:05,centered,27,30.74,0,0,
2025-10-27 16:59:05,right_drift,49,35.3,0,0,
2025-10-27 16:59:05,right_drift,49,38.73,0,0,
2025-10-27 16:59:05,right_drift,56,43.05,0,0,
2025-10-27 16:59:05,right_drift,61,47.53,0,0,
2025-10-27 16:59:05,right_drift,61,50.9,0,0,
2025-10-27 16:59:05,right_drift,61,53.43,0,0,
2025-10-27 16:59:06,centered,-10,37.57,0,0,
2025-10-27 16:59:06,centered,7,29.93,0,0,
2025-10-27 16:59:06,right_drift,90,44.95,0,0,
2025-10-27 16:59:06,right_drift,51,46.46,0,0,
2025-10-27 16:59:06,centered,28,41.84,0,0,
2025-10-27 16:59:06,centered,29,38.63,0,0,
2025-10-27 16:59:06,centered,-7,27.22,0,0,
2025-10-27 16:59:06,centered,12,23.42,0,0,
2025-10-27 16:59:07,centered,3,18.31,0,0,
2025-10-27 16:59:07,right_drift,44,24.74,0,0,
2025-10-27 16:59:07,right_drift,44,29.55,0,0,
2025-10-27 16:59:07,right_drift,75,40.91,0,0,
2025-10-27 16:59:07,right_drift,50,43.19,0,0,
2025-10-27 16:59:07,right_drift,50,44.89,0,0,
2025-10-27 16:59:07,centered,35,42.42,0,0,
2025-10-27 16:59:08,centered,2,32.31,0,0,
2025-10-27 16:59:08,centered,31,31.98,0,0,
2025-10-27 16:59:08,centered,1,24.24,0,0,
2025-10-27 16:59:08,centered,19,22.93,0,0,
2025-10-27 16:59:08,right_drift,57,31.45,0,0,
2025-10-27 16:59:08,right_drift,49,35.83,0,0,
2025-10-27 16:59:08,right_drift,51,39.63,0,0,
2025-10-27 16:59:08,right_drift,83,50.47,0,0,
2025-10-27 16:59:09,right_drift,73,56.1,0,0,
2025-10-27 16:59:09,right_drift,89,64.33,0,0,
2025-10-27 16:59:09,right_drift,88,70.25,0,0,
2025-10-27 16:59:09,centered,32,60.68,0,0,
2025-10-27 16:59:09,right_drift,73,63.76,0,0,
2025-10-27 16:59:09,right_drift,84,68.82,0,0,
2025-10-27 16:59:09,right_drift,77,70.87,0,0,unsignaled_right_deviation
2025-10-27 16:59:10,right_drift,71,70.9,0,0,
2025-10-27 16:59:10,right_drift,72,71.17,0,0,
2025-10-27 16:59:10,right_drift,65,69.63,0,0,
2025-10-27 16:59:10,right_drift,46,63.72,0,0,
2025-10-27 16:59:10,right_drift,54,61.29,0,0,
2025-10-27 16:59:10,right_drift,57,60.22,0,0,
2025-10-27 16:59:10,right_drift,52,58.16,0,0,
2025-10-27 16:59:10,centered,29,50.87,0,0,
2025-10-27 16:59:11,right_drift,50,50.66,0,0,
2025-10-27 16:59:11,right_drift,79,57.74,0,0,
2025-10-27 16:59:11,right_drift,69,60.56,0,0,
2025-10-27 16:59:11,right_drift,52,58.42,0,0,
2025-10-27 16:59:11,right_drift,54,57.31,0,0,
2025-10-27 16:59:11,centered,21,48.23,0,0,
2025-10-27 16:59:11,right_drift,89,58.43,0,0,
2025-10-27 16:59:12,centered,12,46.82,0,0,
2025-10-27 16:59:12,right_drift,89,57.36,0,0,
2025-10-27 16:59:12,right_drift,62,58.52,0,0,
2025-10-27 16:59:12,right_drift,52,56.89,0,0,
2025-10-27 16:59:12,right_drift,46,54.17,0,0,
2025-10-27 16:59:12,centered,29,47.88,0,0,
2025-10-27 16:59:12,centered,7,37.66,0,0,
2025-10-27 16:59:12,centered,24,34.24,0,0,
2025-10-27 16:59:13,right_drift,44,36.68,0,0,
2025-10-27 16:59:13,right_drift,67,44.26,0,0,
2025-10-27 16:59:13,right_drift,111,60.95,0,0,
2025-10-27 16:59:13,right_drift,73,63.96,0,0,
2025-10-27 16:59:13,right_drift,103,73.72,0,0,
2025-10-27 16:59:13,right_drift,59,70.04,0,0,
2025-10-27 16:59:13,right_drift,77,71.78,0,0,
2025-10-27 16:59:14,right_drift,83,74.58,0,0,unsignaled_right_deviation
2025-10-27 16:59:14,right_drift,69,73.19,0,0,
2025-10-27 16:59:14,right_drift,59,69.64,0,0,
2025-10-27 16:59:14,right_drift,82,72.73,0,0,
2025-10-27 16:59:14,right_drift,94,78.05,0,0,
2025-10-27 16:59:14,right_drift,104,84.54,0,0,
2025-10-27 16:59:14,right_drift,128,95.4,0,0,
2025-10-27 16:59:14,centered,32,79.55,0,0,
2025-10-27 16:59:15,right_drift,91,82.41,0,0,
2025-10-27 16:59:15,right_drift,136,95.81,0,0,
2025-10-27 16:59:15,right_drift,130,104.36,0,0,
2025-10-27 16:59:15,right_drift,86,99.77,0,0,
2025-10-27 16:59:15,right_drift,93,98.08,0,0,
2025-10-27 16:59:15,centered,13,76.81,0,0,
2025-10-27 16:59:15,right_drift,78,77.11,0,0,
2025-10-27 16:59:16,right_drift,75,76.58,0,0,
2025-10-27 16:59:16,right_drift,58,71.93,0,0,
2025-10-27 16:59:16,right_drift,45,65.2,0,0,
2025-10-27 16:59:16,right_drift,68,65.9,0,0,
2025-10-27 16:59:16,right_drift,74,67.93,0,0,
2025-10-27 16:59:16,right_drift,57,65.19,0,0,
2025-10-27 16:59:16,right_drift,54,62.4,0,0,
2025-10-27 16:59:16,right_drift,100,71.8,0,0,
2025-10-27 16:59:17,centered,39,63.6,0,0,unsignaled_right_deviation
2025-10-27 16:59:17,right_drift,92,70.7,0,0,
2025-10-27 16:59:17,right_drift,55,66.77,0,0,
2025-10-27 16:59:17,right_drift,73,68.33,0,0,
2025-10-27 16:59:17,right_drift,86,72.75,0,0,
2025-10-27 16:59:17,right_drift,95,78.31,0,0,
2025-10-27 16:59:17,centered,31,66.48,0,0,
2025-10-27 16:59:18,centered,33,58.11,0,0,
2025-10-27 16:59:18,right_drift,69,60.83,0,0,
2025-10-27 16:59:18,right_drift,91,68.38,0,0,
2025-10-27 16:59:18,right_drift,166,92.78,0,0,
2025-10-27 16:59:18,right_drift,176,113.59,0,0,
2025-10-27 16:59:18,lane_boundary_missing,0,85.19,0,0,
2025-10-27 16:59:18,lane_boundary_missing,0,63.89,0,0,
2025-10-27 16:59:18,centered,12,50.92,0,0,
2025-10-27 16:59:19,right_drift,90,60.69,0,0,
2025-10-27 16:59:19,right_drift,74,64.02,0,0,
2025-10-27 16:59:19,right_drift,56,62.01,0,0,
2025-10-27 16:59:19,centered,28,53.51,0,0,
2025-10-27 16:59:19,right_drift,85,61.38,0,0,
2025-10-27 16:59:19,right_drift,61,61.29,0,0,
2025-10-27 16:59:19,right_drift,87,67.71,0,0,
2025-10-27 16:59:20,right_drift,92,73.79,0,0,
2025-10-27 16:59:20,right_drift,113,83.59,0,0,unsignaled_right_deviation
2025-10-27 16:59:20,right_drift,112,90.69,0,0,
2025-10-27 16:59:20,right_drift,79,87.77,0,0,
2025-10-27 16:59:20,right_drift,94,89.33,0,0,
2025-10-27 16:59:20,right_drift,97,91.25,0,0,
2025-10-27 16:59:20,right_drift,79,88.18,0,0,
2025-10-27 16:59:20,right_drift,77,85.39,0,0,
2025-10-27 16:59:21,right_drift,78,83.54,0,0,
2025-10-27 16:59:21,right_drift,80,82.66,0,0,
2025-10-27 16:59:21,right_drift,54,75.49,0,0,
2025-10-27 16:59:21,right_drift,59,71.37,0,0,
2025-10-27 16:59:21,right_drift,96,77.53,0,0,
2025-10-27 16:59:21,right_drift,80,78.14,0,0,
2025-10-27 16:59:21,right_drift,82,79.11,0,0,
2025-10-27 16:59:22,right_drift,56,73.33,0,0,
2025-10-27 16:59:22,right_drift,89,77.25,0,0,
2025-10-27 16:59:22,right_drift,58,72.44,0,0,
2025-10-27 16:59:22,right_drift,83,75.08,0,0,
2025-10-27 16:59:22,right_drift,53,69.56,0,0,
2025-10-27 16:59:22,right_drift,109,79.42,0,0,
2025-10-27 16:59:22,right_drift,46,71.06,0,0,
2025-10-27 16:59:22,right_drift,94,76.8,0,0,
2025-10-27 16:59:23,right_drift,83,78.35,0,0,
2025-10-27 16:59:23,right_drift,68,75.76,0,0,unsignaled_right_deviation
2025-10-27 16:59:23,right_drift,54,70.32,0,0,
2025-10-27 16:59:23,right_drift,63,68.49,0,0,
2025-10-27 16:59:23,right_drift,64,67.37,0,0,
2025-10-27 16:59:23,right_drift,95,74.28,0,0,
2025-10-27 16:59:23,right_drift,68,72.71,0,0,
2025-10-27 16:59:24,right_drift,59,69.28,0,0,
2025-10-27 16:59:24,right_drift,57,66.21,0,0,
2025-10-27 16:59:24,right_drift,90,72.16,0,0,
2025-10-27 16:59:24,right_drift,106,80.62,0,0,
2025-10-27 16:59:24,right_drift,59,75.21,0,0,
2025-10-27 16:59:24,right_drift,87,78.16,0,0,
2025-10-27 16:59:24,right_drift,110,86.12,0,0,
2025-10-27 16:59:24,right_drift,76,83.59,0,0,
2025-10-27 16:59:25,right_drift,85,83.94,0,0,
2025-10-27 16:59:25,centered,26,69.46,0,0,
2025-10-27 16:59:25,centered,27,58.84,0,0,
2025-10-27 16:59:25,right_drift,56,58.13,0,0,
2025-10-27 16:59:25,right_drift,97,67.85,0,0,
2025-10-27 16:59:25,right_drift,94,74.39,0,0,
2025-10-27 16:59:25,right_drift,70,73.29,0,0,
2025-10-27 16:59:25,centered,15,58.72,0,0,
2025-10-27 16:59:26,centered,37,53.29,0,0,
